date,site,ndvi_mean,ndvi_stdDev,ndvi_count,evi_mean,evi_stdDev,evi_count,ndwi_mean,ndwi_stdDev,ndwi_count,fapar_mean,fapar_stdDev,fapar_count
2019-01-22,control,0.10229326924624657,0.006907735824574499,1369,0.07655329706916397,0.00565975139545195,1369,-0.26891031570712354,0.009742743666891025,1369,0.12905318848106453,0.008714799516282576,1369
2019-01-29,control,0.10363680551466795,0.006404195041927681,1369,0.08220671395500265,0.005808685939995347,1369,-0.2676217034875011,0.008993839678775843,1369,0.1307481938373051,0.008079532464897614,1369
2019-02-28,control,0.07012082991424992,0.012460611462112674,106,0.07295775589777252,0.008549220731787155,106,-0.17672153525905826,0.025536019438832384,106,0.08846443901981764,0.015720307420601723,106
2019-03-05,control,0.09563009925463907,0.005740943575282811,1369,0.07334083880097703,0.004584250099820478,1369,-0.2512747076205143,0.00842170958182264,1369,0.12064693321965266,0.007242774414579872,1369
2019-03-25,control,0.0968004830515074,0.005191240293154564,1369,0.07451750795298637,0.004066249156422855,1369,-0.2625217228859477,0.007835965535910469,1369,0.1221234894177819,0.006549268753844294,1369
2019-04-02,control,0.1019264711984433,0.004793226451979407,1369,0.07463950927687797,0.003975779185113889,1369,-0.27391941683269583,0.007315234665670328,1369,0.12859043606395615,0.006047134491816519,1369
2019-04-07,control,0.09184703989734928,0.005224701529061731,1369,0.06922776027898499,0.003980386855013026,1369,-0.2599435915074822,0.007723784606442314,1369,0.11587422553449593,0.00659148344906358,1369
2019-04-12,control,0.0945051525579514,0.00511367293181477,1369,0.07234984315906515,0.003994203601455243,1369,-0.26161495971643944,0.007956900201494864,1369,0.11922770046711137,0.006451409770783817,1369
2019-04-17,control,0.08544183364923455,0.004674674032183373,1369,0.06639218926948308,0.0037927812465422543,1369,-0.24726519565426977,0.006596902580772337,1369,0.10779341733187414,0.005897568759003233,1369
2019-05-04,control,0.11051004471438942,0.005635031606356419,1369,0.08304324988781076,0.004344963972584601,1369,-0.2865871343321028,0.00877888906789659,1369,0.13941947241167343,0.0071091558745808026,1369
2019-05-09,control,0.09267595709552959,0.004673584927992421,1369,0.07710223931031346,0.004442800294732648,1369,-0.2417929387005646,0.00583157329585002,1369,0.1169199874717201,0.005896194745156165,1369
2019-05-17,control,0.07539822972169058,0.006398488311222869,1369,0.05895170897111196,0.005269534633317997,1369,-0.23613505338257176,0.008830294548267803,1369,0.0951224066168849,0.008072332853437952,1369
2019-05-27,control,0.09653484594583606,0.006063569420102402,1369,0.0773159125392626,0.005314661647556879,1369,-0.2493307788225827,0.008154822721599255,1369,0.12178836164526678,0.007649799180401283,1369
2019-05-29,control,0.09686292769825858,0.0059549950864787975,1369,0.08040315319922708,0.005462283186855793,1369,-0.23843661339445943,0.008064920852814758,1369,0.1222022695841228,0.007512821801106614,1369
2019-06-01,control,0.09459492945649244,0.007155238398246064,1369,0.0751641470902721,0.006186820855726172,1369,-0.247529271755308,0.008771248798110753,1369,0.11934096300231095,0.00902704876322301,1369
2019-06-03,control,0.09121754348928636,0.007529286416312717,1369,0.06996739765468289,0.006223653035750476,1369,-0.24542552111875268,0.009576084971252773,1369,0.11508005286608361,0.009498947742821864,1369
2019-06-08,control,0.09679467070981256,0.007610972954338611,1369,0.08065720845846576,0.006969866948742509,1369,-0.2419387795649503,0.009178623600875974,1369,0.12211615656749951,0.009602003479196422,1369
2019-06-13,control,0.09295600800036147,0.007576393822206573,1369,0.07530861936432648,0.006637609039371335,1369,-0.24233877265003662,0.008785589963603593,1369,0.11727329969325587,0.009558378446098218,1369
2019-06-18,control,0.0997486721906178,0.00909015799693671,1369,0.07927879788932923,0.00817042907781424,1369,-0.24208494080573342,0.00952759880347713,1369,0.12584292483568368,0.011468143328931358,1369
2019-06-21,control,0.10864310293498221,0.009434364188527325,1369,0.084673309904713,0.008302402468227733,1369,-0.25846889421442837,0.010083217818669834,1369,0.13706413866277345,0.011902393860245839,1369
2019-06-26,control,0.11990140446376667,0.012266981855399083,1369,0.08110076631250718,0.0087851959958758,1369,-0.28099839055803516,0.015326576416228746,1369,0.1512676118714881,0.015476024308772578,1369
2019-06-28,control,0.13495532077417055,0.07383961054456335,1369,0.050062234991863595,0.041582096732416744,1369,-0.2898642337605558,0.05595625614032165,1369,0.17025963268869304,0.09315605266302171,1369
2019-07-06,control,0.12714321039044135,0.01095939457843828,1369,0.09664643232486052,0.009285429152871685,1369,-0.26543697898306257,0.011447442812211142,1369,0.16040387422858088,0.013826372200157032,1369
2019-07-11,control,0.12848296198030912,0.011141704637829037,1369,0.1039231930290281,0.009912177700312812,1369,-0.26752653356236406,0.01187571828187856,1369,0.16209410483435832,0.01405637457108111,1369
2019-07-13,control,0.11086778241645398,0.011897068094446277,1369,0.08681305528685015,0.009626291290293772,1369,-0.24418543443511778,0.012401709027533882,1369,0.1398707942965982,0.015009341107955678,1369
2019-07-23,control,0.10927263532731052,0.013610337366834101,1369,0.0837849276110668,0.010954815047214354,1369,-0.24579512540718093,0.013867088929841637,1369,0.13785835672893526,0.017170801621994417,1369
2019-07-28,control,0.12876881556366657,0.018265564526431778,1369,0.09785426086242999,0.014992866363642464,1369,-0.28388460031098656,0.01894534140227465,1369,0.16245473771512178,0.023043836206544436,1369
