date,site,ndvi_mean,ndvi_stdDev,ndvi_count,evi_mean,evi_stdDev,evi_count,ndwi_mean,ndwi_stdDev,ndwi_count,fapar_mean,fapar_stdDev,fapar_count
2019-01-22,project,0.10782947245783132,0.010673456313091944,910,0.079740466260047,0.007433595994284647,910,-0.2775710237494508,0.015291326452552795,910,0.13603766245280022,0.013465632484595471,910
2019-01-29,project,0.10909977906277644,0.008670083586321172,910,0.08557147745207676,0.007365659586395245,910,-0.27549398092389965,0.011199547661000415,910,0.13764028126559855,0.01093817745250386,910
2019-02-28,project,0.09926748064614047,0.017408338119051944,89,0.08242495428479127,0.01065962346221458,89,-0.2350510063375323,0.032100390287719736,89,0.1252358535831708,0.021962359370996012,89
2019-03-05,project,0.10329174029816564,0.008207095116682873,910,0.07752879236378167,0.006150752289387676,910,-0.261379949211673,0.010793087339256099,910,0.13031285956016575,0.01035407119921056,910
2019-03-25,project,0.10105903457305883,0.007833505367096625,910,0.0765614874918374,0.005436335677876938,910,-0.26894501123207026,0.010414237870069891,910,0.12749607801737087,0.009882750371131543,910
2019-04-02,project,0.10594219561988658,0.007660903012565982,910,0.07699080127811667,0.005558263118755789,910,-0.2798411664433441,0.009801375708013595,910,0.1336566739940489,0.009664995240651137,910
2019-04-07,project,0.09609382842319912,0.007909110469108254,910,0.07141283937036826,0.005421001644759211,910,-0.2675509915542806,0.00990011280674117,910,0.12123197393870774,0.00997813376783073,910
2019-04-12,project,0.09915346059448447,0.007141945614533109,910,0.07489467644131029,0.005045362883651354,910,-0.26944378826503956,0.009759648375847333,910,0.12509200588600147,0.009010278587293759,910
2019-04-17,project,0.08733454401202725,0.006637753399623006,910,0.06655182555612804,0.004944443026141178,910,-0.25055448279357584,0.008991210130455733,910,0.11018126072557352,0.008374189688966905,910
2019-05-04,project,0.11081263891323374,0.007380870146277722,910,0.08061638194047932,0.004802698084771779,910,-0.2886745210349483,0.011759529584387864,910,0.13980122525293567,0.009311705776547372,910
2019-05-09,project,0.09484008052359565,0.006827123117913616,910,0.07599360626330924,0.0054437307653583756,910,-0.24637974166542942,0.008494439063085262,910,0.11965024558856821,0.008613098525559788,910
2019-05-17,project,0.07417456605268517,0.008063058120388248,910,0.055486224299571514,0.006295329666212485,910,-0.23706959933475932,0.01194166252340745,910,0.09357863253206768,0.010172354124681626,910
2019-05-27,project,0.09621440347191662,0.00818241838814717,910,0.07582234030495176,0.007076830610111956,910,-0.2546003689549412,0.012720426188968176,910,0.12138409142016995,0.010322939038484635,910
2019-05-29,project,0.09554917075004228,0.008488178527602806,910,0.07819026285285834,0.00750341984832425,910,-0.24100078177803194,0.012142573882915971,910,0.12054483381825318,0.010708686030427137,910
2019-06-01,project,0.09328588625214262,0.009227200127508602,910,0.07287678423088641,0.007774239164217264,910,-0.2503606839331347,0.012551479606043423,910,0.11768947409570321,0.011641035680863908,910
2019-06-03,project,0.09389469429952663,0.012144631031928815,910,0.07006701476663979,0.009478351975350295,910,-0.2527033685319596,0.01581876849200719,910,0.1184575463282827,0.015321666509884053,910
2019-06-08,project,0.07049679468893952,0.056798702851984316,594,0.05304393853617252,0.045546445352348704,594,-0.19347780826485106,0.049567607661843795,594,0.08893875617956591,0.07165724351806342,594
2019-06-13,project,0.10001530809857737,0.012823750952047096,910,0.07975498557706456,0.010857877980447309,910,-0.2528249243425315,0.01531219180402318,910,0.1261793126971651,0.016178444201104678,910
